trip_date,ontime_trip_count,trip_count,ObjectId
2025/03/15 04:00:00+00,1946,2075,3845
2024/12/05 05:00:00+00,3796,4079,3846
2024/05/20 04:00:00+00,3388,3625,3847
2024/07/23 04:00:00+00,3639,3827,3848
2025/03/16 04:00:00+00,1682,1777,3849
2024/12/06 05:00:00+00,3539,3756,3850
2024/05/21 04:00:00+00,3521,3791,3851
2024/07/24 04:00:00+00,3566,3830,3852
2025/03/17 04:00:00+00,3465,3687,3853
2024/12/07 05:00:00+00,1933,2108,3854
2024/05/22 04:00:00+00,3563,3897,3855
2024/07/25 04:00:00+00,3567,3717,3856
2025/03/18 04:00:00+00,3926,4196,3857
2024/12/08 05:00:00+00,1643,1734,3858
2024/05/23 04:00:00+00,3604,3924,3859
2024/07/26 04:00:00+00,3340,3521,3860
2025/03/19 04:00:00+00,3907,4150,3861
2024/12/09 05:00:00+00,3653,3894,3862
2024/05/24 04:00:00+00,3439,3611,3863
2024/07/27 04:00:00+00,1718,1809,3864
2025/03/20 04:00:00+00,4001,4230,3865
2024/12/10 05:00:00+00,3867,4220,3866
2024/07/28 04:00:00+00,1622,1706,3867
2024/05/25 04:00:00+00,1839,1897,3868
2025/03/21 04:00:00+00,3675,3806,3869
2024/12/11 05:00:00+00,3718,4005,3870
2024/07/29 04:00:00+00,3251,3377,3871
2024/05/26 04:00:00+00,1492,1550,3872
2025/03/22 04:00:00+00,1977,2125,3873
2024/12/12 05:00:00+00,3814,4340,3874
2024/07/30 04:00:00+00,3533,3739,3875
2024/05/27 04:00:00+00,1273,1295,3876
2025/03/23 04:00:00+00,1695,1771,3877
2024/12/13 05:00:00+00,3702,3986,3878
2024/07/31 04:00:00+00,3492,3681,3879
2024/05/28 04:00:00+00,3609,3859,3880
2025/03/24 04:00:00+00,3653,3818,3881
2024/12/14 05:00:00+00,1946,2130,3882
2024/08/01 04:00:00+00,3496,3646,3883
2024/05/29 04:00:00+00,3649,3980,3884
2025/03/25 04:00:00+00,4113,4371,3885
2024/12/15 05:00:00+00,1753,1860,3886
2024/08/02 04:00:00+00,3376,3501,3887
2024/05/30 04:00:00+00,3391,3835,3888
2025/03/26 04:00:00+00,3971,4158,3889
2024/12/16 05:00:00+00,3719,3969,3890
2024/08/03 04:00:00+00,1788,1877,3891
2024/05/31 04:00:00+00,3462,3709,3892
2025/03/27 04:00:00+00,4042,4293,3893
2024/12/17 05:00:00+00,3723,4106,3894
2024/08/04 04:00:00+00,1553,1605,3895
2024/06/01 04:00:00+00,1787,1868,3896
2025/03/28 04:00:00+00,3787,3980,3897
2024/12/18 05:00:00+00,3815,4208,3898
2024/08/05 04:00:00+00,3346,3442,3899
2024/06/02 04:00:00+00,1606,1708,3900
2025/03/29 04:00:00+00,1836,1922,3901
2024/12/19 05:00:00+00,3786,4116,3902
2024/08/06 04:00:00+00,3469,3656,3903
2024/06/03 04:00:00+00,3422,3646,3904
2025/03/30 04:00:00+00,1708,1782,3905
2024/12/20 05:00:00+00,3147,3696,3906
2024/08/07 04:00:00+00,3440,3694,3907
2024/06/04 04:00:00+00,3651,4033,3908
2025/03/31 04:00:00+00,3625,3808,3909
2024/12/21 05:00:00+00,1781,1903,3910
2024/08/08 04:00:00+00,3569,3722,3911
2024/06/05 04:00:00+00,3674,3959,3912
2025/04/01 04:00:00+00,3961,4256,3913
2024/12/22 05:00:00+00,1707,1842,3914
2024/08/09 04:00:00+00,3134,3263,3915
2024/06/06 04:00:00+00,3614,3850,3916
2025/04/02 04:00:00+00,3985,4183,3917
2024/12/23 05:00:00+00,3191,3390,3918
2024/08/10 04:00:00+00,1684,1768,3919
2024/06/07 04:00:00+00,3451,3659,3920
2025/04/03 04:00:00+00,3918,4214,3921
2024/12/24 05:00:00+00,2654,2756,3922
2024/08/11 04:00:00+00,1626,1686,3923
2024/06/08 04:00:00+00,1863,1954,3924
2025/04/04 04:00:00+00,3707,3916,3925
2024/12/25 05:00:00+00,1351,1395,3926
2024/08/12 04:00:00+00,3210,3364,3927
2024/06/09 04:00:00+00,1468,1553,3928
2025/04/05 04:00:00+00,1989,2136,3929
2024/12/26 05:00:00+00,2203,2240,3930
2024/08/13 04:00:00+00,3491,3650,3931
2024/06/10 04:00:00+00,3429,3634,3932
2025/04/06 04:00:00+00,1788,1901,3933
2024/12/27 05:00:00+00,2919,3020,3934
2024/08/14 04:00:00+00,3547,3706,3935
2024/06/11 04:00:00+00,3626,3937,3936
2025/04/07 04:00:00+00,3677,3881,3937
2024/12/28 05:00:00+00,1594,1651,3938
2024/08/15 04:00:00+00,3538,3704,3939
2024/06/12 04:00:00+00,3605,3836,3940
2025/04/08 04:00:00+00,3947,4321,3941
2024/12/29 05:00:00+00,1578,1657,3942
2024/08/16 04:00:00+00,3329,3433,3943
2024/06/13 04:00:00+00,3678,3915,3944
2025/04/09 04:00:00+00,3844,4254,3945
2024/12/30 05:00:00+00,2919,3057,3946
2024/08/17 04:00:00+00,1698,1789,3947
2024/06/14 04:00:00+00,3346,3523,3948
2025/04/10 04:00:00+00,3977,4218,3949
2024/12/31 05:00:00+00,3198,3320,3950
2024/08/18 04:00:00+00,1495,1539,3951
